detector,window_size,threshold,canny_low,canny_high,filter_dead,filter_density,filter_temporal,filter_bidir,avg_edges,density,centroid_stab,radius_stab,fit_error,inlier_ratio,blades,frames,score
sobel,50,500,50,150,1,0,0,0,35,0.0000,7.07,0.00,0.00,0.00,0.0,30,34.950058
sobel,50,1000,50,150,1,0,0,0,37,0.0000,16.69,0.00,0.00,0.00,0.0,30,41.683235
sobel,50,2000,50,150,1,0,0,0,40,0.0000,7.76,0.00,0.00,0.00,0.0,30,35.43012
sobel,100,500,50,150,1,0,0,0,78,0.0001,26.19,0.00,0.00,0.00,0.0,7,48.334396
sobel,100,1000,50,150,1,0,0,0,0,0.0000,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,0.00,0.0,0,238197630000000000000000000000000000000
sobel,100,2000,50,150,1,0,0,0,0,0.0000,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,0.00,0.0,0,238197630000000000000000000000000000000
sobel,200,500,50,150,1,0,0,0,0,0.0000,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,0.00,0.0,0,238197630000000000000000000000000000000
sobel,200,1000,50,150,1,0,0,0,377,0.0004,5.67,0.00,0.00,0.00,0.0,30,33.967365
sobel,200,2000,50,150,1,0,0,0,0,0.0000,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,0.00,0.0,0,238197630000000000000000000000000000000
canny,50,500,50,150,1,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,0.0,3,30.000002
canny,50,1000,50,150,1,0,0,0,41,0.0000,13.20,0.00,0.00,0.00,0.0,30,39.240036
canny,50,2000,50,150,1,0,0,0,32,0.0000,24.04,0.00,0.00,0.00,0.0,30,46.82818
canny,100,500,50,150,1,0,0,0,132,0.0001,5.52,0.00,0.00,0.00,0.0,30,33.86286
canny,100,1000,50,150,1,0,0,0,99,0.0001,23.27,0.00,0.00,0.00,0.0,30,46.29046
canny,100,2000,50,150,1,0,0,0,0,0.0000,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,0.00,0.0,0,238197630000000000000000000000000000000
canny,200,500,50,150,1,0,0,0,292,0.0003,21.91,0.00,0.00,0.00,0.0,16,45.334854
canny,200,1000,50,150,1,0,0,0,290,0.0003,21.27,0.00,0.00,0.00,0.0,23,44.892242
canny,200,2000,50,150,1,0,0,0,0,0.0000,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,0.00,0.0,0,238197630000000000000000000000000000000
log,50,500,50,150,1,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,0.0,8,30.000002
log,50,1000,50,150,1,0,0,0,0,0.0000,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,0.00,0.0,0,238197630000000000000000000000000000000
log,50,2000,50,150,1,0,0,0,140,0.0002,3.06,0.00,0.00,0.00,0.0,30,32.142296
log,100,500,50,150,1,0,0,0,290,0.0003,4.34,0.00,0.00,0.00,0.0,30,33.03824
log,100,1000,50,150,1,0,0,0,276,0.0003,5.76,0.00,0.00,0.00,0.0,30,34.03218
log,100,2000,50,150,1,0,0,0,295,0.0003,2.70,0.00,0.00,0.00,0.0,30,31.889194
log,200,500,50,150,1,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,0.0,7,30.000002
log,200,1000,50,150,1,0,0,0,0,0.0000,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,0.00,0.0,0,238197630000000000000000000000000000000
log,200,2000,50,150,1,0,0,0,0,0.0000,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,340282346638528859811704183484516925440.00,0.00,0.0,0,238197630000000000000000000000000000000
